name,type,latitude,longitude,municipality
Raja Bhoj International Airport,large_airport,23.2875,77.337402,Bhopal
Bhavnagar Airport,medium_airport,21.752199173,72.1852035522,Bhavnagar
Daman Airport,medium_airport,20.434401,72.843201,Daman
Deesa Airport,small_airport,24.2679,72.204399,Deesa
Guna Airport,small_airport,24.654699,77.347298,
Hubballi Airport,medium_airport,15.361084,75.082096,Hubballi
Rajkot International Airport,large_airport,22.378824,71.039391,Rajkot
Devi Ahilya Bai Holkar International Airport,large_airport,22.721404,75.80051,Indore
Jabalpur Airport,medium_airport,23.177799,80.052002,Jabalpur
Juhu Aerodrome,small_airport,19.098100662231445,72.83419799804688,Mumbai
Jalgaon Airport,small_airport,20.962678,75.627492,Jalgaon
Jamnagar Airport,medium_airport,22.465499877929688,70.01260375976562,Jamnagar
Kandla Airport,medium_airport,23.1127,70.100304,Kandla
Khajuraho Airport,medium_airport,24.8172,79.918602,Khajuraho
Kolhapur Airport,medium_airport,16.6647,74.289398,Kolhapur
Keshod Airport,medium_airport,21.317101,70.270401,Keshod
Murod Kond Airport,medium_airport,18.411501,76.464699,Latur
Mundra Airport,small_airport,22.834795,69.765408,Mundra
Nanded Airport,medium_airport,19.1833,77.316704,Nanded
Dr. Babasaheb Ambedkar International Airport,large_airport,21.092199,79.047203,Nagpur
Nashik International Airport,large_airport,20.119101,73.912903,Nashik
Pune International Airport,large_airport,18.5821,73.919701,Pune
Porbandar Airport,medium_airport,21.649524,69.656405,Porbandar
Ratnagiri Airport,medium_airport,17.013599,73.327797,
Rajkot Airport,medium_airport,22.3092,70.779503,Rajkot
Swami Vivekananda Airport,medium_airport,21.180401,81.7388,Raipur
Shirdi International Airport,large_airport,19.689211,74.373655,Kakadi
Solapur Airport,medium_airport,17.6280002594,75.93479919430001,Solapur
Surat International Airport,large_airport,21.115531,72.743251,Surat
Maharana Pratap Airport,medium_airport,24.6177005768,73.89610290530001,Udaipur
Burnpur Airport,small_airport,23.631500244140625,86.97550201416016,
Sookerating (Doomdooma) Airport,small_airport,27.5529,95.570602,Sokriting T.E.
Nuagaon Airport,small_airport,20.511699676513672,83.4480972290039,
Giridih Airport,small_airport,24.20190048217773,86.28980255126953,
Daltonganj Airport,small_airport,24.01930046081543,84.09510040283203,
Cuttack Airport / Charbatia Air Force Station,small_airport,20.549601,85.886299,Bandalo
Mechuka Advanced Landing Ground,small_airport,28.602458,94.126139,Kargong
Bentayan Airport,small_airport,23.09510040283203,75.88529968261719,Ujjain
Vijaynagar Advanced Landing Ground,small_airport,27.1935997009,97.0037002563,
Thuniabhand Airport,small_airport,22.00160026550293,78.91719818115234,
Azamgarh Airport,small_airport,26.153333,83.118333,Azamgarh
Along Airport,medium_airport,28.17530059814453,94.802001953125,
Agartala - Maharaja Bir Bikram Airport,medium_airport,23.886999,91.240402,Agartala
Tuirial Airfield,small_airport,23.746214,92.802846,Aizawl
Behala Airport,small_airport,22.50423,88.293427,Kolkata
Bagdogra Airport,large_airport,26.6812,88.328598,Siliguri
Balurghat Airport,small_airport,25.2617,88.795601,Balurghat
Shillong Airport,medium_airport,25.70359992980957,91.97869873046876,Shillong
Bokaro Airport,small_airport,23.643499,86.148903,
Berhampur Rangeilunda Airport,small_airport,19.2975,84.876944,Berhampur (Brahmapur)
Lal Bahadur Shastri International Airport,large_airport,25.452171,82.862549,Varanasi
Biju Patnaik International Airport,large_airport,20.251021,85.814747,Bhubaneswar
Bilaspur Airport,medium_airport,21.9884,82.111,Bilaspur
Chabua Air Force Station,small_airport,27.4622,95.117699,Chabua
Netaji Subhash Chandra Bose International Airport,large_airport,22.654012,88.44765,Kolkata
Chakulia Airport,small_airport,22.463625,86.705219,
Cooch Behar Airport,small_airport,26.3305,89.467201,Cooch Behar
Chitrakoot Airport,small_airport,25.167694,80.9358,Chitrakoot
Dhanbad Airport,medium_airport,23.834,86.425301,
Kazi Nazrul Islam Airport,medium_airport,23.6225,87.243,Durgapur
Darbhanga Airport,medium_airport,26.192801,85.916901,Darbhanga
Deoghar Airport,small_airport,24.446842,86.704955,Deoghar
Kharagpur Airport / Kalaikunda Air Force Station,small_airport,22.3395,87.2145,Doarkhol
Daporijo Airport,small_airport,27.9855003357,94.22280120850002,Daporijo
Gorakhpur Airport,medium_airport,26.7397003174,83.4496994019,Gorakhpur
Lokpriya Gopinath Bordoloi International Airport,large_airport,26.106654,91.585226,Guwahati
Gaya Airport,medium_airport,24.744301,84.951202,Gaya
Hirakud Airport,small_airport,21.5802,84.005699,Sambalpur
Hashimara Air Force Station,medium_airport,26.698299,89.369102,Jalpaiguri
Bir Tikendrajit International Airport,large_airport,24.76,93.896698,Imphal
Jharsuguda Airport,small_airport,21.9135,84.0504,
Jeypore Airport,small_airport,18.879549,82.552478,Jeypore
Sonari Airport,medium_airport,22.813706,86.168981,Jamshedpur
Jorhat Airport,medium_airport,26.730456,94.175416,Jorhat
Kishanganj Airport,small_airport,26.075836,87.93965,Kishanganj
Kushinagar International Airport,medium_airport,26.776534,83.889214,Kushinagar
Kendujhar Airport,small_airport,21.696667,85.581667,Gopinathapur
Kamalpur Airport,small_airport,24.134325,91.810769,Manik Bhandar
Kailashahar Airport,medium_airport,24.308657,92.00768,Kailashahar
Silchar Airport,medium_airport,24.9129009247,92.9786987305,Silchar
Khowai Airport,small_airport,24.061899,91.603897,Khowai
Lengpui Airport,medium_airport,23.840599,92.619698,Aizawl (Lengpui)
Lilabari North Lakhimpur Airport,medium_airport,27.295682,94.097266,Lilabari
